Species.name_(queried_GBIF),,reason_no_map,IUCN?,to_check,Range_source,Range_source_website,Range_description,Range_errors,Action,Realm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drosophila recens,,,,,http://evolution.ibmc.up.pt/,http://evolution.ibmc.up.pt/sites/default/files/recens_gis.png,,number of points is too small,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drosophila ruberrima,,NO GBIF,,,http://evolution.ibmc.up.pt/node/35,http://evolution.ibmc.up.pt/sites/default/files/ruberrima_gis.png,,NO GBIF,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drosophila rufa,,NO GBIF,,,http://evolution.ibmc.up.pt/node/35,http://evolution.ibmc.up.pt/sites/default/files/rufa.png,,NO GBIF,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drosophila serrata,,,,,http://evolution.ibmc.up.pt/,http://evolution.ibmc.up.pt/sites/default/files/serrata.png,,number of points is too small,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drosophila sternopleuralis,,NO GBIF,,,,,,NO GBIF,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drosophila suzukii,,,,,http://evolution.ibmc.up.pt/node/35,http://evolution.ibmc.up.pt/sites/default/files/suzukii.png,,number of points is too small,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drosophila takahashii,,NO GBIF,,,http://evolution.ibmc.up.pt/node/35,http://evolution.ibmc.up.pt/sites/default/files/takahashii.png,,NO GBIF,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drosophila unispina,,NO GBIF,,,none,,,NO GBIF,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drosophila validus,,NO GBIF,,,none,,,NO GBIF,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Echinometra lucunter,,,,,WorMs,,"Belize
Unreviewed: has not been verified by a taxonomic editorBelize [details]
Caribbean Sea
Unreviewed: has not been verified by a taxonomic editorCaribbean Sea [details]
Colombia
Unreviewed: has not been verified by a taxonomic editorColombia [details]
Costa Rica
Unreviewed: has not been verified by a taxonomic editorCosta Rica [details]
Cuba
Unreviewed: has not been verified by a taxonomic editorCuba [details]
Dominican Republic
Unreviewed: has not been verified by a taxonomic editorDominican Republic [details]
Guatemala
Unreviewed: has not been verified by a taxonomic editorGuatemala [details]
Haiti
Unreviewed: has not been verified by a taxonomic editorHaiti [details]
Honduras
Unreviewed: has not been verified by a taxonomic editorHonduras [details]
Jamaica
Unreviewed: has not been verified by a taxonomic editorJamaica [details]
Mexico
Unreviewed: has not been verified by a taxonomic editorMexico [details]
Nicaragua
Unreviewed: has not been verified by a taxonomic editorNicaragua [details]
Panama
Unreviewed: has not been verified by a taxonomic editorPanama [details]
Venezuela
Unreviewed: has not been verified by a taxonomic editorVenezuela [details]
(no group)
Unreviewed: has not been verified by a taxonomic editorPuerto Rico [details]",,excl.points,marine ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eciton burchellii,,,,,"Wikipedia (ignore AntWeb, range map = gbif)",,found in the Amazon jungle and Central America.,excl points in N Mexico/USA & southern brasil / paraguay (ie not in C.Am or Amazon. S part of Amazon = -18degrees).  Southern RL pretty sparsely sampled,excl.points,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ectemnorhinus marioni,,NO GBIF,,,Wikispecies,,Marion Island,NO GBIF,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ectemnorhinus similis,,NO GBIF,,,Australian Antarctic Data Centre,,Found in the Antarctica/subantarctic or Southern Ocean,NO GBIF,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ectemnorhinus viridis,,NO GBIF,,,Australian Antarctic Data Centre,,Heard Island -  includes McDonald Island,NO GBIF,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egernia cunninghami,,,,,Cogger (ed) Reptiles & Amphibians of Australia. 2000 (First published 1975). Ralph Curtis publishing. Florida,,Australia (New South Wales; Queensland; South Australia; Victoria); elevation above 1000 m.,"some points outside range, small disjuct pop coastal SA is real",excl.points,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egernia inornata,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=178525,,remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egernia saxatilis,,,,,Cogger (ed) Reptiles & Amphibians of Australia. 2000 (First published 1975). Ralph Curtis publishing. Florida,,Australia (Highlands and outlying hills and ranges of SE Australia; from W Victoria to N New South Wales),remove single point in interior queensland & tasmania,excl.points,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egernia striolata,,,,,Cogger (ed) Reptiles & Amphibians of Australia. 2000 (First published 1975). Ralph Curtis publishing. Florida,,Australia (New South Wales; North Territory; Queensland; South Australia; Victoria),"remove Wmost outliers, & point in New Guinea",excl.points,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egernia whitii,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=178520,,remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eleutherodactylus coqui,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=56522,,remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eleutherodactylus fitzingeri,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=56601,,remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eleutherodactylus portoricensus,,NO GBIF,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=56875,,remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elgaria coerulea,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=63701,,remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elgaria multicarinata,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=63703,,remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engraulis japonicus,,,,,Fishbase,,Western Pacific: southern Sakhalin Islands; Sea of Japan and Pacific coasts of Japan; and south to almost Canton/Taiwan; rare records (seems to represent stray fishes) off the coasts of Luzon and Western Mindanao; Philippines and from Manado and Ujung Pandang; Sulawesi; Indonesia (Ref. 189).,too many extra points outside described range (possible misidentification),remove,marine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engystomops pustulosus,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=57272,,remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ensis macha,,,,,"WorMs, Wikipedia",http://mollus.oxfordjournals.org/content/early/2011/01/20/mollus.eyq044.full,"Unreviewed: has not been verified by a taxonomic editor Patagonian Shelf & South East Pacific.  Wikipedia says: coasts of Peru, Chile and southern Argentina. This paper confirms E and W coast distribtion: http://mollus.oxfordjournals.org/content/early/2011/01/20/mollus.eyq044.full",excl points in Uruguay,excl.points,marine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Epigomphus quadracies,,NO GBIF,Y,,IUCN,,"Epigomphus quadracies is found in Costa Rica; Guatemala and Panama in the following areas:
Guatemala: Quetzaltenango - possibly recorded in error.
Costa Rica: Puntarenas; San Isidro (Calvert 1903; 1905)
Costa Rica: Limon; Rio Chirripo (Calvert 1920)
Costa Rica: Alajuela; Alajuela; 975 m (Calvert 1920)
Costa Rica: Puntarenas; Rincon de Osa (D. R. Paulson collection)
Panama: Chiriqui (Calvert 1903; 1905)
Panama: Canal Zone; Barro Colorado Island (D. R. Paulson collection)
Panama: Canal Zone; Pipeline Road (D. R. Paulson collection)",,remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eremias argus,,,,,Reptile database,,"E Mongolia;NE China (Liaoning south to Jiangsu and westward to Qinghai)
C Mongolia and adjacent parts of China (Inner Mongolia)
W Korea; Russia (southern bank of Lake Baikal; SW Chitinskaya Oblast; S Buryatia)
",mising northern RL (Lake Baikal),remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eremias brenchleyi,,,,,Reptile database,,NE China (Hebei; Shandong; Henan; Shanxi; Nei Mongol; Anhui; Jiangsu); Russia (south of the Lake Baikal)/ tsaganbogdensis: S Mongolia,only 2 points,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eremias multiocellata,,,,,Reptile database,,"S Mongolia; NW China (Xinjiang and Qinghai eastward through Nei Mongol [Inner Mongolia] to W Liaoning)
Uzbekistan; E/SE Kazakhstan; Kyrgyzstan; SE Russia (Tuva)",points outside range,excl.points,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eremiascincus fasciolatus,,,,,Australian Reptile Online Database,,Queensland,estimated range is E Queensland but there are points from primary literature all over Australia.  Cogger says if draw plygon around all points will be good,fine,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eremiascincus richardsonii,,,,,Cogger (ed) Reptiles & Amphibians of Australia. 2000 (First published 1975). Ralph Curtis publishing. Florida,,"Most of WA, SA, and the NT to NSW, except the coast and ranges. Southeastern Qld.",2 spurious points removed - on East coast and South coast.,excl.points,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ericymba buccata,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=202293,,remove.use.IUCN,freshwater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erthemis simplicicollis,,NO GBIF,Y,,IUCN,,This species is found in the Bahamas (Cat Island); Belize (Belize; Cayo; Corozal; Orange Walk; Toledo); two provinces in Canada; Cayman Islands; Costa Rica; Cuba; Dominican Republic (Barahona; Bahoruco; Samana); El Salvador; Honduras (Cortez); Jamaica (Clarendon; Cornwall; St. Andrew; St. Catherine; St. Elizabeth); eleven states in Mexico; Nicaragua (Leon) and forty two states in United States of America.,,remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erythemis credula,,,,,.edu,"http://deepblue.lib.umich.edu/bitstream/handle/2027.42/56256/mp011.pdf?sequence=1 / _ DOI: 10.1590/S1676-06032013000100037
","Panama: Gamboa; Canal Zone  / Pitch Lake; Trinidad / widely
distributed in Central and South Americas; dwelling in streams in
Argentina (Muzon et al. 2008) and lakes in Brazil (Franco & Takeda
2002) and Panama (May 1998).",number of points is too small,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erythemis plebeja,,IUCN,Y,,IUCN,,This species occurs in South America; Greater and Lesser Antilles; Mesoamerica and two states in the United States of America.,IUCN but no map,remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Etheostoma blennioides,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=202453,,remove.use.IUCN,freshwater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Etheostoma caeruleum,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=202458,,remove.use.IUCN,freshwater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Etheostoma cragini,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=8112,,remove.use.IUCN,freshwater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Etheostoma flabellare,,,,,"Page, L.M.; Burr, B.M. (1991). ""A field Guide to freshwater fishes of North America north of Mexico"".",,"The fantail darter is distributed across much of eastern North America, from the Great Lakes and the Mississippi River basins to South Carolina and northern Alabama, in small streams. They can be found as far west as northeastern Oklahoma",,fine,freshwater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Etheostoma nigrum,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=202507,,remove.use.IUCN,freshwater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Etheostoma spectabile,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=202535,,remove.use.IUCN,freshwater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eucidaris tribuloides,,,,,"McPherson, BF (1968). ""Contributions to the biology of the sea urchin Eucidaris tribuloides (Lamarck)"". Bulletin of Marine Science 18: 400_443. (cited in wikipedia)",,"United States to Brazil on the west to Mauritania to Gabon on the east, the slate pencil urchin can be found on both sides of the Atlantic, at the mid-Atlantic ridge and throughout the Caribbean.[6] On the western side of the Atlantic, the slate pencil urchin has been found as far north as Cape Hatteras, North Carolina[7] and as far south as Rio de Janeiro.[8] In the Gulf of Mexico, populations have been reported at Alacran Reef, Campeche Bank.[9] On the eastern side of the Atlantic, a closely related sub-species, Eucidaris tribuloides var. africana, has been reported at Cape Verde Islands, in the Gulf of Guinea, and at the Azores and Ascension Islands.[10]",undersampled on African coast,excl.points,marine ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eucinostomus gracilis,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=183543,,remove.use.IUCN,marine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eudorella splendida,,,,,WoRMS,,"Indian Ocean
Unreviewed: has not been verified by a taxonomic editor: Kerguelen Islands
(no group)
Unreviewed: has not been verified by a taxonomic editor: South Georgian and the South Sandwich Islands",number of points is too small,remove,marine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eulamprus heatwolei,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=178475,,remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eulamprus kosciuskoi,,,,,Cogger (ed) Reptiles & Amphibians of Australia. 2000 (First published 1975). Ralph Curtis publishing. Florida,,Australia (New South Wales; Victoria; Queensland),"range really is disjuct, two little patches",fine,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eulamprus murrayi,,,,,Cogger (ed) Reptiles & Amphibians of Australia. 2000 (First published 1975). Ralph Curtis publishing. Florida,,Australia (New South Wales; Queensland),points outside range,excl.points,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eulamprus quoyii,,,,,Cogger (ed) Reptiles & Amphibians of Australia. 2000 (First published 1975). Ralph Curtis publishing. Florida,,Australia (New South Wales; Queensland; South Australia; Victoria),"range should be conintuous through Darling river system, but is disjuct around coastal victoria; remove triangles in middle of australia & costal point cluster E of 145 long  & point in ocean",excl.points,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eulamprus tenuis,,,,,Cogger (ed) Reptiles & Amphibians of Australia. 2000 (First published 1975). Ralph Curtis publishing. Florida,,Australia (New South Wales; S Queensland),,excl.points,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eulamprus tympanum,,,,,Reptile database,,Australia (New South Wales; South Australia; Victoria); Tasmania,"GBIF data missing points on Tasmania but Cogger says no records from Tasmania so fine, really is disjunct pop to West",fine,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euophrys frontalis,,,,,SRS British Spiders; Proszynski (1976) shows spp in france,,The species is widespread in the southern half of Britain with a few mainly coastal records further north. It is widespread in western and central Europe.,missing France,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eurycea bislineata,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=59261,,remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eurycea longicauda,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=59268,,remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eurycea lucifuga,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=59269,,remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eurycea multiplicata,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=59270,,remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eurycea nana,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=8391,,remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eurygaster integriceps,,NO GBIF,,,Agroatlas.ru,,Northern Africa; Bulgaria; Albania; Greece (not numerous everywhere in the Balkans); and also in Turkey; Syria; Iran; Iraq; Israel; Saudi Arabia; Afghanistan and in the north of Pakistan; where sometimes harmful. Distributed in Kazakhstan and Ukraine; in Russia spread in Central Black Earth and Volga Basin Regions; the Northern Caucasus; and also in the Chelyabinsk Region and Bashkortostan.,NO GBIF,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eurypanopeus abbreviatus,,,,,Worms,,"Gulf of Mexico
Unreviewed: has not been verified by a taxonomic editorGulf of Mexico [details].  From Marine Species ID portal: Occidental Atlantic: South Carolina, Florida, Gulf of Mexico, The West Indies, northern South America and Brazil (Cear_ to Rio Grande do Sul).", sampling pretty sparse for very large range,remove,intertidal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Floridichthys carpio,,,,,Fishbase,http://www.sms.si.edu/irlspec/Florid_carpio.htm,The range of F. carpio extends from southeast Florida through the Gulf of Mexico (Robins & Ray 1986),,excl.points,freshwater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Formica aserva,,,,,AntWiki,,"Canada, Newfoundland west to Yukon. United States: Alaska south to California, east to New Mexico, northeast to New England.","sampling sparse in eastern part of range, too sparse to be confident in",remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Formica neogagates,,,,,AntWiki,,"Coast to coast in southern Canada and the northern states, with an extension in the Appalachians to North Carolina; in the west spreading northward to southern Alaska and southward to Nevada, Arizona, New Mexico and into northern Mexico.",,excl.points,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Formica obscuripes,,,,,AntWiki,,"Southern Canada and northern states from Indiana and Michigan westward to British Columbia and southward to California, Nevada, Utah, Colorado, and New Mexico.",,excl.points,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Formica pallidefulva,,,,,AntWiki,," F. pallidefulva occurs throughout the eastern United States and southeastern Canada, then west across the US Great Plains to the lower-elevation Rocky Mountains from Wyoming to New Mexico","sounds like should occur in more of Canada, probably missing northern part of range",remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Formica pergandei,,,,,AntWiki,,"Canada, Quebec. United States: northeastern US, west to North Dakota and south to New Mexico.",missing southern part of range,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,,,,,,,,,NA,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Formica perpilosa,,,,,wikipedia refering to guide to new MX spdiers; Schumacher & Whitford (1974) Insectes Sociaux,,In New Mexico (Mackay and Mackay 2002) & Chiuahuan desert,"range unreliable, can only find confirmations it does occur in certain areas, not overall range",remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Formica podzolica,,,,,AntWiki,,Widespread in North America. Mexico: Chihuahua.,missing southern part of range,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Formica polyctena,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=8644,,remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Formica sanguinea,,,,,AntWiki,,Throughout Eurasia from Portugal to Japan and Iran to Arctic Norway (Collingwood 1979).,missing middle & southern (Iran) parts of range. Also shouldn't be in N.,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,,NO SP,,,none,,,no species name,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Formica subsericea,,,,,AntWiki,,Nearctic Region: United States (type locality).,range uncomfirmed,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Friesea grisea,,NO GBIF,,,doi:10.1111/j.1365-2699.2008.02058.x,,present in a limited portion of the northernmost regions of Victoria Land and widely distributed in the western side of the Antarctic Peninsula and offshore islands; and in some subantarctic islands. / initial findingssuggest that populations of northern Victoria Land may constitute a new species (F.F. and A.C.; unpublished data).,NO GBIF,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fundulus heteroclitus,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=189824,,remove.use.IUCN,freshwater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fundulus notatus,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=184090,,remove.use.IUCN,freshwater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fundulus olivaceus,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=202387,,remove.use.IUCN,freshwater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fundulus parvipinnis,,,,,Fishbase,,Eastern Pacific: Morro Bay; California; USA to Bahêa Magdalena; Baja California; Mexico.,one outlier but seems to be inside described range,excl.points,marine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fundulus sciadicus,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=202390,,remove.use.IUCN,freshwater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gafrarium dispar,,,,,SeaLifeBase,,Indo-Pacific: from East Africa; including the Red Sea to eastern Polynesia; north to Japan and south to Queensland.,not enough points in eastern part of range,remove,intertidal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
