genus_species,latitude,longitude
Gambusia affinis,35.96,-83.92
Gambusia affinis,29.48,-81.68
Gambusia affinis,35.66,-97.47
Gambusia affinis,-37.27,174.87
Gambusia affinis,40.76,-111.92
Gambusia affinis,33,-109.9
Heterandria formosa,29.97,-92.87
Heterandria formosa,29.87,-91.43
Abudefduf saxatilis,9.66,-79.34
Abudefduf saxatilis,31.29,-113.54
Retropinna retropinna,-35.15,173.68
Retropinna retropinna,-37.27,174.87
Coregonus artedi,45.3,-94.11
Coregonus artedi,42.41,-83.98
Coregonus clupeaformis,45.05,-82.5
Coregonus clupeaformis,45.29,-82.12
Oncorhynchus clarkii,48.23,NA
Oncorhynchus clarkii,37.68,-106.86
Oncorhynchus kisutch,NA,NA
Oncorhynchus kisutch,47.37,-120.26
Oncorhynchus mykiss,NA,NA
Oncorhynchus mykiss,36.96,-92.67
